Title,Release Date,Game Score,Developer,Publisher,Genre,Platforms,Image URL
Chinatown Detective Agency,"Apr 7, 2022",66,General Interactive Co.,Humble Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/9/2/5/3/503204-729253.jpg
Animal Crossing: New Horizons,"Mar 20, 2020",90,Nintendo,Nintendo,Simulation,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3549399-cq5dam.thumbnail.319.319.png
Oddworld: Soulstorm,"Apr 6, 2021",67,Oddworld Inhabitants,Microids,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3537139-oddworld_soulstorm_logo.gif
MindSeize,"Feb 7, 2020",74,Kamina Dimension,First Press Games,2D,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/4/5/9/483810-677459.jpg
Mario Party Superstars,"Oct 29, 2021",80,Nd Cube,Nintendo,Party/Minigame,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/2/6/533304-803826.jpg
Fire Emblem Warriors: Three Hopes,"Jun 24, 2022",80,Koei Tecmo Games,Nintendo,3D,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/9/557730-852399.jpg
Life is Strange,"Feb 1, 2022",85,Feral Interactive,Square Enix,Action,PC,https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/2830331-image.jpeg
Fight Crab,"Jul 29, 2020",60,Calappa Games,Nussoft,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/2/479392-665772.jpg
Eiyuden Chronicle: Hundred Heroes,"Apr 21, 2024",79,Rabbit & Bear Studios,505 Games,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/2/5/3/516194-761253.jpg
WWE 2K23,"Mar 14, 2023",82,Visual Concepts,2K Games,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/5/0/580650-915950.jpg
